209.141.52.78 - - [26/Mar/2013:02:58:30 +0400] "GET / HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
213.215.43.23 - - [26/Mar/2013:06:15:01 +0400] "GET / HTTP/1.0" 200 151 "-" "Wget/1.11.4 Red Hat modified"
200.105.228.106 - - [26/Mar/2013:12:39:51 +0400] "HEAD / HTTP/1.0" 200 0 "-" "-"
200.170.215.221 - - [26/Mar/2013:13:06:08 +0400] "HEAD / HTTP/1.0" 200 0 "-" "-"
176.61.139.107 - - [26/Mar/2013:15:12:48 +0400] "-" 400 0 "-" "-"
176.61.139.107 - - [26/Mar/2013:15:22:54 +0400] "GET http://37.28.156.211/sprawdza.php HTTP/1.1" 200 151 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
96.254.171.2 - - [27/Mar/2013:06:27:51 +0400] "\x00" 400 172 "-" "-"
96.254.171.2 - - [27/Mar/2013:06:27:52 +0400] "GET http://server5.cyberpods.net/azenv.php HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.28) Gecko/20120306 Firefox/3.6.28 (.NET CLR 3.5.30729)"
96.254.171.2 - - [27/Mar/2013:06:27:53 +0400] "\x04\x01\x00P\xC7\xA8\xBDh0\x00" 400 172 "-" "-"
96.254.171.2 - - [27/Mar/2013:06:27:53 +0400] "\x04\x01\x00P\xC7\xA8\xBDh0\x00" 400 172 "-" "-"
96.254.171.2 - - [27/Mar/2013:06:27:53 +0400] "\x05\x01\x00" 400 172 "-" "-"
207.248.228.165 - - [28/Mar/2013:04:52:40 +0400] "HEAD /manager/status HTTP/1.1" 200 0 "-" "Java/1.6.0_20"
96.254.171.2 - - [28/Mar/2013:08:39:17 +0400] "\x00" 400 172 "-" "-"
96.254.171.2 - - [28/Mar/2013:08:39:17 +0400] "GET http://server5.cyberpods.net/azenv.php HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.28) Gecko/20120306 Firefox/3.6.28 (.NET CLR 3.5.30729)"
96.254.171.2 - - [28/Mar/2013:08:39:18 +0400] "\x04\x01\x00P\xC7\xA8\xBDh0\x00" 400 172 "-" "-"
96.254.171.2 - - [28/Mar/2013:08:39:19 +0400] "\x04\x01\x00P\xC7\xA8\xBDh0\x00" 400 172 "-" "-"
96.254.171.2 - - [28/Mar/2013:08:39:19 +0400] "\x05\x01\x00" 400 172 "-" "-"
202.103.25.79 - - [29/Mar/2013:04:03:09 +0400] "HEAD / HTTP/1.0" 200 0 "-" "-"
64.15.129.182 - - [29/Mar/2013:05:18:29 +0400] "HEAD / HTTP/1.0" 200 0 "-" "-"
14.211.9.181 - - [29/Mar/2013:10:51:16 +0400] "HEAD / HTTP/1.0" 200 0 "-" "-"
176.61.139.107 - - [30/Mar/2013:01:47:41 +0400] "-" 400 0 "-" "-"
176.61.139.107 - - [30/Mar/2013:02:09:35 +0400] "GET http://37.28.156.211/sprawdza.php HTTP/1.1" 200 151 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
223.223.156.8 - - [30/Mar/2013:04:23:01 +0400] "HEAD /manager/status HTTP/1.1" 200 0 "-" "Java/1.6.0_10"
63.135.19.52 - - [30/Mar/2013:06:08:21 +0400] "-" 400 0 "-" "-"
63.135.19.52 - - [30/Mar/2013:06:08:22 +0400] "GET / HTTP/1.0" 200 151 "-" "-"
90.49.146.71 - - [30/Mar/2013:06:13:07 +0400] "HEAD /manager/status HTTP/1.1" 200 0 "-" "Java/1.6.0_27"
180.149.12.172 - - [31/Mar/2013:01:52:59 +0400] "GET / HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:01:53:00 +0400] "GET /favicon.ico HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:01:54:36 +0400] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:01:56:38 +0400] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:01:57:11 +0400] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:01:57:53 +0400] "GET / HTTP/1.1" 200 133 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:02:06:00 +0400] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
180.149.12.172 - - [31/Mar/2013:02:23:11 +0400] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
